name_scheme,net_asset_value,outstanding_no_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,date_valued
Wekeza Maisha Fund,"8,759,543,462.9050","11,212,656.6494",781.2193,781.2193,765.5949,16-05-2023
Watoto Fund,"10,123,751,525.7776","17,545,528.8897",576.9989,576.9989,571.2289,16-05-2023
Jikimu Fund,"19,537,292,001.1552","120,541,394.2594",162.0795,162.0795,158.8379,16-05-2023
Liquid Fund,"706,382,771,236.0000","1,978,254,723.6069",357.0737,357.0737,357.0737,16-05-2023
Bond Fund,"405,923,690,985.1380","3,520,523,060.4723",115.3021,115.3021,115.3021,16-05-2023
Umoja Fund,"315,002,647,318.5860","344,755,250.1296",913.6993,913.6993,904.5624,15-05-2023
Wekeza Maisha Fund,"8,740,629,259.8476","11,196,745.3497",780.6402,780.6402,765.0274,15-05-2023
Watoto Fund,"10,085,194,747.2385","17,492,162.7751",576.555,576.555,570.7895,15-05-2023
Jikimu Fund,"19,546,374,368.5395","120,725,131.1387",161.9081,161.9081,158.6699,15-05-2023
Liquid Fund,"703,513,443,163.0200","1,970,771,324.0958",356.9737,356.9737,356.9737,15-05-2023
Bond Fund,"404,191,718,719.3160","3,516,470,193.0992",114.9425,114.9425,114.9425,15-05-2023
Umoja Fund,"314,627,904,073.7010","344,725,421.6748",912.6913,912.6913,903.5644,12-05-2023
Wekeza Maisha Fund,"8,721,963,972.1795","11,186,356.3624",779.6966,779.6966,764.1027,12-05-2023
Watoto Fund,"10,058,148,606.3133","17,467,107.8003",575.8337,575.8337,570.0753,12-05-2023
Jikimu Fund,"19,470,618,255.4296","120,420,131.7888",161.6891,161.6891,158.4553,12-05-2023
Liquid Fund,"692,711,467,839.1300","1,942,167,506.7424",356.6693,356.6693,356.6693,12-05-2023
Bond Fund,"403,857,721,859.4480","3,516,481,683.2492",114.8471,114.8471,114.8471,12-05-2023
Umoja Fund,"314,560,955,251.0980","344,713,264.2040",912.5293,912.5293,903.404,11-05-2023
Wekeza Maisha Fund,"8,715,454,350.4600","11,185,514.1774",779.1733,779.1733,763.5899,11-05-2023
Watoto Fund,"10,040,378,212.9619","17,445,395.9427",575.5317,575.5317,569.7764,11-05-2023
Jikimu Fund,"19,496,050,663.3954","120,648,143.3494",161.5943,161.5943,158.3624,11-05-2023
Liquid Fund,"693,689,611,922.3750","1,945,453,153.3816",356.5697,356.5697,356.5697,11-05-2023
Bond Fund,"403,388,821,223.8690","3,513,373,510.9852",114.8152,114.8152,114.8152,11-05-2023
Umoja Fund,"314,946,528,901.6090","344,773,695.6464",913.4877,913.4877,904.3528,10-05-2023
Wekeza Maisha Fund,"8,702,124,457.4725","11,161,917.9359",779.6263,779.6263,764.0337,10-05-2023
Watoto Fund,"10,045,955,970.7825","17,442,897.3110",575.9339,575.9339,570.1746,10-05-2023
Jikimu Fund,"19,513,143,155.8308","120,622,951.4306",161.7697,161.7697,158.5343,10-05-2023
Liquid Fund,"692,780,026,123.3860","1,943,448,175.1546",356.4695,356.4695,356.4695,10-05-2023
Bond Fund,"402,687,653,118.6830","3,508,216,938.3192",114.7841,114.7841,114.7841,10-05-2023
Umoja Fund,"314,973,296,846.0940","344,776,292.1049",913.5585,913.5585,904.4229,09-05-2023
Wekeza Maisha Fund,"8,687,201,246.1154","11,146,062.7785",779.3964,779.3964,763.8085,09-05-2023
Watoto Fund,"10,040,140,999.1619","17,434,067.0896",575.8921,575.8921,570.1332,09-05-2023
