name_scheme,net_asset_value,outstanding_no_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,date_valued
Jikimu Fund,"18,044,703,192.2902","116,692,209.4690",154.635,154.635,151.5423,30-03-2022
Liquid Fund,"363,671,766,436.9660","1,168,551,522.3251",311.2159,311.2159,311.2159,30-03-2022
Bond Fund,"179,197,890,985.1230","1,583,958,677.7883",113.1329,113.1329,113.1329,30-03-2022
Umoja Fund,"279,657,836,604.7090","346,157,145.2672",807.8927,807.8927,799.8138,29-03-2022
Wekeza Maisha Fund,"3,372,826,162.9021","4,955,745.5080",680.5891,680.5891,666.9773,29-03-2022
Watoto Fund,"5,135,811,621.9259","10,203,271.4383",503.3495,503.3495,498.316,29-03-2022
Jikimu Fund,"18,038,748,076.3019","116,680,893.9198",154.599,154.599,151.507,29-03-2022
Liquid Fund,"362,927,513,285.6480","1,166,518,362.3113",311.1203,311.1203,311.1203,29-03-2022
Bond Fund,"178,076,031,763.8450","1,574,506,392.2510",113.0996,113.0996,113.0996,29-03-2022
Umoja Fund,"279,593,561,086.1000","346,138,309.2389",807.751,807.751,799.6735,28-03-2022
Wekeza Maisha Fund,"3,350,136,835.6145","4,923,548.5471",680.4314,680.4314,666.8227,28-03-2022
Watoto Fund,"5,116,438,240.3769","10,173,899.5685",502.8984,502.8984,497.8695,28-03-2022
Jikimu Fund,"18,031,768,876.8727","116,719,445.4141",154.4881,154.4881,151.3984,28-03-2022
Liquid Fund,"361,734,670,958.8490","1,163,041,455.1271",311.0247,311.0247,311.0247,28-03-2022
Bond Fund,"177,414,704,625.3290","1,569,128,669.3206",113.0657,113.0657,113.0657,28-03-2022
Umoja Fund,"279,274,326,047.0020","345,987,179.5185",807.1811,807.1811,799.1093,25-03-2022
Wekeza Maisha Fund,"3,339,830,718.9518","4,911,843.7358",679.9546,679.9546,666.3555,25-03-2022
Watoto Fund,"5,106,452,461.8457","10,164,778.6020",502.3673,502.3673,497.3436,25-03-2022
Jikimu Fund,"18,010,715,718.6873","116,711,927.3897",154.3177,154.3177,151.2313,25-03-2022
Liquid Fund,"360,715,814,557.5350","1,160,812,779.9030",310.7442,310.7442,310.7442,25-03-2022
Bond Fund,"176,253,159,300.8050","1,560,258,197.8633",112.9641,112.9641,112.9641,25-03-2022
Umoja Fund,"278,895,679,770.1210","345,994,825.0667",806.0689,806.0689,798.0082,24-03-2022
Wekeza Maisha Fund,"3,332,760,913.9689","4,902,618.4800",679.792,679.792,666.1962,24-03-2022
Watoto Fund,"5,061,788,328.2686","10,095,392.1940",501.3959,501.3959,496.3819,24-03-2022
Jikimu Fund,"17,980,807,100.0369","116,704,086.0014",154.0718,154.0718,150.9904,24-03-2022
Liquid Fund,"359,545,414,584.6550","1,157,425,951.1236",310.6423,310.6423,310.6423,24-03-2022
Bond Fund,"175,041,994,570.7020","1,550,011,680.6961",112.9295,112.9295,112.9295,24-03-2022
Umoja Fund,"278,859,571,246.2160","346,005,792.0618",805.939,805.939,797.8796,23-03-2022
Wekeza Maisha Fund,"3,341,313,439.6464","4,916,358.6839",679.6317,679.6317,666.0391,23-03-2022
Watoto Fund,"5,062,589,951.0827","10,099,252.5998",501.2836,501.2836,496.2708,23-03-2022
Jikimu Fund,"17,975,143,931.2956","116,693,134.3098",154.0377,154.0377,150.957,23-03-2022
Liquid Fund,"359,383,279,309.2880","1,157,256,748.2823",310.5476,310.5476,310.5476,23-03-2022
Bond Fund,"173,928,276,089.7510","1,546,987,324.5753",112.4303,112.4303,112.4303,23-03-2022
Umoja Fund,"278,946,950,161.8540","345,991,825.6057",806.2241,806.2241,798.1619,22-03-2022
Wekeza Maisha Fund,"3,339,214,255.1133","4,914,423.1989",679.4723,679.4723,665.8828,22-03-2022
Watoto Fund,"5,064,719,398.0367","10,097,717.3382",501.5707,501.5707,496.555,22-03-2022
Jikimu Fund,"17,984,361,790.4547","116,675,714.4971",154.1397,154.1397,151.0569,22-03-2022
Liquid Fund,"358,840,215,123.8590","1,155,860,664.1486",310.4528,310.4528,310.4528,22-03-2022
Bond Fund,"173,328,018,663.9350","1,542,131,718.2481",112.3951,112.3951,112.3951,22-03-2022
Umoja Fund,"278,894,751,082.9200","345,984,735.7251",806.0898,806.0898,798.0289,21-03-2022
Wekeza Maisha Fund,"3,333,990,374.7739","4,907,886.9570",679.3128,679.3128,665.7265,21-03-2022
Watoto Fund,"5,053,678,090.7792","10,077,949.6847",501.459,501.459,496.4444,21-03-2022
Jikimu Fund,"17,837,273,874.7000","115,746,936.9282",154.1058,154.1058,151.0237,21-03-2022
Liquid Fund,"356,513,270,691.1100","1,148,716,412.9961",310.3579,310.3579,310.3579,21-03-2022
Bond Fund,"178,061,943,729.1900","1,584,808,100.6406",112.3555,112.3555,112.3555,21-03-2022
Umoja Fund,"278,712,570,251.4290","345,874,927.9439",805.8189,805.8189,797.7608,18-03-2022
Wekeza Maisha Fund,"3,330,498,567.2219","4,906,198.5546",678.8349,678.8349,665.2582,18-03-2022
Watoto Fund,"5,046,378,126.2982","10,068,319.8884",501.2135,501.2135,496.2014,18-03-2022
Jikimu Fund,"17,820,769,045.9209","115,699,217.9288",154.0267,154.0267,150.9462,18-03-2022
Liquid Fund,"356,182,394,923.4780","1,148,707,682.2298",310.0723,310.0723,310.0723,18-03-2022
Bond Fund,"176,870,760,205.3550","1,575,644,378.4026",112.253,112.253,112.253,18-03-2022
Umoja Fund,"278,744,213,689.4200","345,966,748.8848",805.6965,805.6965,797.6396,17-03-2022
Wekeza Maisha Fund,"3,318,045,572.4402","4,889,001.4253",678.6755,678.6755,665.102,17-03-2022
Watoto Fund,"5,056,328,888.0610","10,090,542.8230",501.0958,501.0958,496.0849,17-03-2022
Jikimu Fund,"17,845,882,017.1822","115,888,209.7396",153.9922,153.9922,150.9124,17-03-2022
Liquid Fund,"354,670,755,400.5480","1,144,183,427.6830",309.9772,309.9772,309.9772,17-03-2022
Bond Fund,"175,799,020,597.4300","1,566,577,635.6925",112.2185,112.2185,112.2185,17-03-2022
Umoja Fund,"278,543,658,667.6130","345,926,505.8368",805.2105,805.2105,797.1584,16-03-2022
Wekeza Maisha Fund,"3,316,033,863.1895","4,887,119.8189",678.5252,678.5252,664.9547,16-03-2022
Watoto Fund,"5,054,323,992.2402","10,086,901.2393",501.078,501.078,496.0672,16-03-2022
Jikimu Fund,"17,843,040,824.2529","115,861,231.8760",154.0035,154.0035,150.9235,16-03-2022
Liquid Fund,"353,243,393,658.1590","1,139,925,857.7863",309.8828,309.8828,309.8828,16-03-2022
Bond Fund,"175,287,340,363.5260","1,562,483,372.7411",112.1851,112.1851,112.1851,16-03-2022
Umoja Fund,"278,423,909,287.7120","345,926,202.4578",804.865,804.865,796.8164,15-03-2022
Wekeza Maisha Fund,"3,108,874,971.2058","4,582,779.4421",678.382,678.382,664.8143,15-03-2022
Watoto Fund,"5,045,986,422.1009","10,082,424.9478",500.4735,500.4735,495.4688,15-03-2022
Jikimu Fund,"17,820,838,140.0021","115,841,712.5360",153.8378,153.8378,150.7611,15-03-2022
Liquid Fund,"352,107,652,970.3970","1,136,607,449.2171",309.7883,309.7883,309.7883,15-03-2022
Bond Fund,"174,813,717,030.6420","1,558,727,044.1994",112.1516,112.1516,112.1516,15-03-2022
Umoja Fund,"278,264,216,424.3020","345,784,843.8836",804.7323,804.7323,796.6849,14-03-2022
Wekeza Maisha Fund,"3,098,314,337.3621","4,568,236.3460",678.2299,678.2299,664.6653,14-03-2022
Watoto Fund,"5,037,277,450.4249","10,070,059.7531",500.2232,500.2232,495.221,14-03-2022
Jikimu Fund,"17,811,402,560.6892","115,830,656.0726",153.7711,153.7711,150.6956,14-03-2022
Liquid Fund,"350,812,588,936.2330","1,132,775,288.7084",309.693,309.693,309.693,14-03-2022
Bond Fund,"173,693,514,032.0940","1,549,200,834.8826",112.1181,112.1181,112.1181,14-03-2022
Umoja Fund,"278,086,884,659.8510","345,763,152.2421",804.2699,804.2699,796.2272,11-03-2022
Wekeza Maisha Fund,"3,086,897,583.9333","4,554,494.7922",677.7695,677.7695,664.2141,11-03-2022
Watoto Fund,"5,029,747,835.3852","10,063,660.9950",499.7931,499.7931,494.7951,11-03-2022
Jikimu Fund,"17,694,061,624.0368","115,162,227.8744",153.6447,153.6447,150.5718,11-03-2022
Liquid Fund,"350,178,494,210.8160","1,131,763,476.5386",309.4096,309.4096,309.4096,11-03-2022
Bond Fund,"171,933,256,119.7220","1,534,878,000.2673",112.0175,112.0175,112.0175,11-03-2022
Umoja Fund,"278,027,307,361.6200","345,748,973.8356",804.1305,804.1305,796.0892,10-03-2022
Wekeza Maisha Fund,"3,084,187,314.4825","4,551,509.7174",677.6185,677.6185,664.0662,10-03-2022
Watoto Fund,"5,023,769,146.4567","10,059,857.2836",499.3877,499.3877,494.3938,10-03-2022
Jikimu Fund,"17,682,107,437.4831","115,158,382.7425",153.546,153.546,150.4751,10-03-2022
Liquid Fund,"349,238,163,827.9520","1,129,083,683.0550",309.3111,309.3111,309.3111,10-03-2022
Bond Fund,"177,972,964,458.1830","1,595,079,762.0707",111.5762,111.5762,111.5762,10-03-2022
Umoja Fund,"277,868,817,101.5070","346,110,676.9929",802.8323,802.8323,794.8039,09-03-2022
Wekeza Maisha Fund,"3,063,249,977.8530","4,529,552.7876",676.2809,676.2809,662.7553,09-03-2022
Watoto Fund,"5,012,851,428.9188","10,055,046.8388",498.5408,498.5408,493.5554,09-03-2022
Jikimu Fund,"17,678,546,135.9350","115,387,009.8490",153.2109,153.2109,150.1467,09-03-2022
Liquid Fund,"348,504,770,847.0770","1,127,055,004.0278",309.2172,309.2172,309.2172,09-03-2022
Bond Fund,"178,053,008,675.5900","1,596,283,864.2280",111.5422,111.5422,111.5422,09-03-2022
Umoja Fund,"277,951,922,899.9460","346,088,547.5504",803.1237,803.1237,795.0925,08-03-2022
Wekeza Maisha Fund,"3,058,243,967.1795","4,515,114.0288",677.3348,677.3348,663.7881,08-03-2022
Watoto Fund,"5,009,947,717.7022","10,051,101.1916",498.4476,498.4476,493.4632,08-03-2022
Jikimu Fund,"17,686,054,920.2621","115,379,155.1684",153.2864,153.2864,150.2207,08-03-2022
Liquid Fund,"347,227,057,423.7880","1,123,267,095.4588",309.1224,309.1224,309.1224,08-03-2022
Bond Fund,"176,645,071,558.1590","1,584,132,169.6832",111.509,111.509,111.509,08-03-2022
Umoja Fund,"277,679,857,526.2430","346,067,530.9573",802.3863,802.3863,794.3625,07-03-2022
Wekeza Maisha Fund,"3,053,027,695.5477","4,508,429.2570",677.1821,677.1821,663.6385,07-03-2022
Watoto Fund,"5,000,969,977.0753","10,047,407.8119",497.7373,497.7373,492.76,07-03-2022
Jikimu Fund,"17,656,196,692.4944","115,362,967.7868",153.0491,153.0491,149.9881,07-03-2022
Liquid Fund,"344,801,348,359.8490","1,115,761,444.8519",309.0278,309.0278,309.0278,07-03-2022
Bond Fund,"175,846,579,097.1610","1,577,445,302.0434",111.4755,111.4755,111.4755,07-03-2022
Umoja Fund,"277,503,410,114.3780","346,047,139.7786",801.9237,801.9237,793.9045,04-03-2022
Wekeza Maisha Fund,"3,044,768,024.2345","4,499,276.9510",676.7239,676.7239,663.1894,04-03-2022
Watoto Fund,"4,897,667,730.2464","9,847,952.0597",497.3286,497.3286,492.3553,04-03-2022
Jikimu Fund,"17,630,445,175.2281","115,289,519.1115",152.9232,152.9232,149.8648,04-03-2022
Liquid Fund,"343,435,020,741.5160","1,112,365,873.9541",308.7429,308.7429,308.7429,04-03-2022
Bond Fund,"175,335,796,600.5710","1,574,288,288.8082",111.3746,111.3746,111.3746,04-03-2022
Umoja Fund,"277,449,871,880.7670","346,034,494.9446",801.7983,801.7983,793.7803,03-03-2022
Wekeza Maisha Fund,"3,030,539,699.9524","4,479,261.5932",676.5713,676.5713,663.0398,03-03-2022
Watoto Fund,"4,893,400,765.2483","9,841,552.0142",497.2184,497.2184,492.2462,03-03-2022
Jikimu Fund,"17,620,405,279.6921","115,251,365.5143",152.8867,152.8867,149.829,03-03-2022
Liquid Fund,"341,933,571,419.1090","1,107,824,139.3863",308.6533,308.6533,308.6533,03-03-2022
Bond Fund,"174,582,924,909.6660","1,567,976,674.1196",111.3428,111.3428,111.3428,03-03-2022
Umoja Fund,"277,391,139,652.5290","346,014,158.7274",801.6757,801.6757,793.6589,02-03-2022
Wekeza Maisha Fund,"3,021,806,773.8227","4,467,365.3822",676.4181,676.4181,662.8897,02-03-2022
Watoto Fund,"4,892,643,863.3995","9,842,221.6927",497.1077,497.1077,492.1366,02-03-2022
Jikimu Fund,"17,565,550,046.7533","114,917,965.6186",152.8529,152.8529,149.7959,02-03-2022
Liquid Fund,"341,550,483,301.8680","1,106,949,014.8072",308.5512,308.5512,308.5512,02-03-2022
Bond Fund,"173,439,236,560.6820","1,558,191,947.7450",111.308,111.308,111.308,02-03-2022
Umoja Fund,"277,331,863,092.8550","345,993,352.9857",801.5526,801.5526,793.537,01-03-2022
Wekeza Maisha Fund,"3,009,170,015.2234","4,449,691.3706",676.2649,676.2649,662.7396,01-03-2022
Watoto Fund,"4,888,305,565.1817","9,835,703.0321",496.9961,496.9961,492.0261,01-03-2022
Jikimu Fund,"17,560,403,713.6199","114,910,224.4955",152.8185,152.8185,149.7621,01-03-2022
Liquid Fund,"338,472,702,736.0380","1,097,310,325.3001",308.4567,308.4567,308.4567,01-03-2022
Bond Fund,"171,784,903,420.9300","1,543,807,721.1093",111.2735,111.2735,111.2735,01-03-2022
Umoja Fund,"277,807,940,746.2340","346,565,398.2597",801.6032,801.6032,793.5872,28-02-2022
Wekeza Maisha Fund,"2,949,045,021.3548","4,360,458.1814",676.3154,676.3154,662.7891,28-02-2022
Watoto Fund,"4,912,531,975.2052","9,882,038.4921",497.1173,497.1173,492.1461,28-02-2022
Jikimu Fund,"17,583,821,530.3888","115,035,914.4124",152.8551,152.8551,149.798,28-02-2022
Liquid Fund,"336,403,886,787.4090","1,091,801,637.3727",308.1181,308.1181,308.1181,28-02-2022
Bond Fund,"171,852,300,596.6190","1,532,373,203.7050",112.1478,112.1478,112.1478,28-02-2022
Umoja Fund,"277,266,350,821.7280","346,556,430.1769",800.0612,800.0612,792.0606,25-02-2022
Wekeza Maisha Fund,"2,930,109,006.1859","4,335,446.2266",675.8495,675.8495,662.3325,25-02-2022
Watoto Fund,"4,892,629,338.4141","9,874,209.6632",495.4958,495.4958,490.5408,25-02-2022
Jikimu Fund,"17,526,496,695.2424","115,009,730.6281",152.3914,152.3914,149.3436,25-02-2022
Liquid Fund,"334,284,255,857.8680","1,085,914,774.9261",307.8365,307.8365,307.8365,25-02-2022
Bond Fund,"170,937,351,736.1940","1,525,616,364.3260",112.0448,112.0448,112.0448,25-02-2022
Umoja Fund,"277,212,048,246.2540","346,541,601.6722",799.9387,799.9387,791.9393,24-02-2022
Wekeza Maisha Fund,"2,879,215,569.8699","4,261,116.1004",675.6952,675.6952,662.1813,24-02-2022
Watoto Fund,"4,889,348,150.8751","9,869,778.6239",495.3858,495.3858,490.4319,24-02-2022
Jikimu Fund,"17,521,949,403.9845","115,005,627.2521",152.3573,152.3573,149.3102,24-02-2022
Liquid Fund,"333,237,699,172.7740","1,082,853,435.9421",307.7404,307.7404,307.7404,24-02-2022
Bond Fund,"170,087,273,265.2880","1,518,489,614.3613",112.0108,112.0108,112.0108,24-02-2022
Umoja Fund,"277,043,426,545.2100","346,529,703.9014",799.4796,799.4796,791.4848,23-02-2022
Wekeza Maisha Fund,"2,873,562,472.0256","4,256,404.1154",675.115,675.115,661.6127,23-02-2022
Watoto Fund,"4,878,810,790.4310","9,854,324.8495",495.0934,495.0934,490.1424,23-02-2022
Jikimu Fund,"17,506,091,879.5246","114,985,670.1159",152.2459,152.2459,149.2009,23-02-2022
Liquid Fund,"332,092,584,710.1220","1,079,468,481.7579",307.6445,307.6445,307.6445,23-02-2022
Bond Fund,"168,825,473,599.4860","1,513,745,045.9647",111.5283,111.5283,111.5283,23-02-2022
Umoja Fund,"276,903,058,442.5140","346,799,112.9643",798.4538,798.4538,790.4692,22-02-2022
Wekeza Maisha Fund,"2,865,609,934.7704","4,245,615.7569",674.9574,674.9574,661.4583,22-02-2022
Watoto Fund,"4,875,456,014.1020","9,850,744.3441",494.9328,494.9328,489.9834,22-02-2022
Jikimu Fund,"17,474,268,183.3417","114,810,539.2756",152.2009,152.2009,149.1569,22-02-2022
Liquid Fund,"330,654,354,861.5880","1,075,122,260.4558",307.5505,307.5505,307.5505,22-02-2022
Bond Fund,"168,096,168,502.1650","1,507,674,609.4652",111.4937,111.4937,111.4937,22-02-2022
Umoja Fund,"276,949,437,550.6310","346,909,402.7906",798.3336,798.3336,790.3503,21-02-2022
Wekeza Maisha Fund,"2,862,007,601.3817","4,241,270.9992",674.7995,674.7995,661.3035,21-02-2022
Watoto Fund,"4,876,004,154.6719","9,854,098.4616",494.8199,494.8199,489.8717,21-02-2022
Jikimu Fund,"17,428,084,365.1058","114,533,548.7628",152.1658,152.1658,149.1224,21-02-2022
Liquid Fund,"327,642,524,114.1990","1,065,655,156.4117",307.4564,307.4564,307.4564,21-02-2022
Bond Fund,"167,055,656,046.0960","1,498,816,978.7168",111.4583,111.4583,111.4583,21-02-2022
Umoja Fund,"276,920,428,178.6210","346,893,176.6522",798.2873,798.2873,790.3045,18-02-2022
Wekeza Maisha Fund,"2,852,764,950.3221","4,230,547.5853",674.3252,674.3252,660.8387,18-02-2022
Watoto Fund,"4,863,130,173.4010","9,828,327.0496",494.8075,494.8075,489.8594,18-02-2022
Jikimu Fund,"17,425,609,347.5114","114,508,131.4999",152.1779,152.1779,149.1344,18-02-2022
Liquid Fund,"324,402,666,891.2440","1,056,094,352.8997",307.172,307.172,307.172,18-02-2022
Bond Fund,"166,149,524,243.4110","1,492,091,859.9027",111.3534,111.3534,111.3534,18-02-2022
Umoja Fund,"275,050,381,005.7280","346,909,173.4491",792.8599,792.8599,784.9313,17-02-2022
Wekeza Maisha Fund,"2,848,151,033.4737","4,224,697.5917",674.1668,674.1668,660.6835,17-02-2022
Watoto Fund,"4,845,437,841.9822","9,825,883.4414",493.13,493.13,488.1987,17-02-2022
Jikimu Fund,"17,366,081,729.4747","114,449,344.5387",151.736,151.736,148.7012,17-02-2022
Liquid Fund,"323,837,965,907.9830","1,054,583,682.0019",307.0766,307.0766,307.0766,17-02-2022
Bond Fund,"165,643,769,014.7800","1,488,002,012.3810",111.3196,111.3196,111.3196,17-02-2022
Umoja Fund,"275,002,876,856.8810","346,903,907.4915",792.735,792.735,784.8077,16-02-2022
Wekeza Maisha Fund,"2,846,936,395.5580","4,223,889.7886",674.0082,674.0082,660.528,16-02-2022
Watoto Fund,"4,846,543,224.3700","9,831,382.8269",492.9666,492.9666,488.0369,16-02-2022
Jikimu Fund,"17,359,892,410.2587","114,442,618.7821",151.6908,151.6908,148.657,16-02-2022
Liquid Fund,"321,822,827,152.8080","1,048,346,186.5646",306.9814,306.9814,306.9814,16-02-2022
Bond Fund,"165,233,836,240.8860","1,484,773,361.0428",111.2856,111.2856,111.2856,16-02-2022
Umoja Fund,"274,952,678,008.9660","346,894,269.4270",792.6123,792.6123,784.6862,15-02-2022
Wekeza Maisha Fund,"2,849,470,781.5667","4,228,653.6476",673.8482,673.8482,660.3713,15-02-2022
Watoto Fund,"4,840,308,150.3671","9,820,933.5315",492.8562,492.8562,487.9277,15-02-2022
Jikimu Fund,"17,355,519,214.8154","114,440,179.0469",151.6558,151.6558,148.6227,15-02-2022
Liquid Fund,"336,131,159,093.6520","1,095,310,286.1188",306.8821,306.8821,306.8821,15-02-2022
Bond Fund,"163,037,836,577.8510","1,465,485,394.3031",111.2518,111.2518,111.2518,15-02-2022
Umoja Fund,"275,017,451,183.6060","347,036,352.9890",792.4745,792.4745,784.5497,14-02-2022
Wekeza Maisha Fund,"2,866,565,185.6805","4,255,163.8261",673.6674,673.6674,660.1941,14-02-2022
Watoto Fund,"4,847,552,646.7750","9,842,952.4560",492.4897,492.4897,487.5648,14-02-2022
Jikimu Fund,"17,407,696,828.5461","114,853,334.2861",151.5646,151.5646,148.5333,14-02-2022
Liquid Fund,"335,098,966,489.0490","1,092,278,000.7014",306.7891,306.7891,306.7891,14-02-2022
Bond Fund,"162,540,522,532.7430","1,461,469,271.1572",111.2172,111.2172,111.2172,14-02-2022
Umoja Fund,"274,346,928,870.6660","346,980,424.0231",790.6698,790.6698,782.7631,11-02-2022
Wekeza Maisha Fund,"2,829,650,692.0659","4,215,093.1528",671.3139,671.3139,657.8876,11-02-2022
Watoto Fund,"4,835,889,713.0126","9,841,975.5628",491.3536,491.3536,486.44,11-02-2022
Jikimu Fund,"17,355,895,387.4005","114,853,069.5851",151.1139,151.1139,148.0916,11-02-2022
Liquid Fund,"334,908,415,693.0150","1,092,756,974.6390",306.4802,306.4802,306.4802,11-02-2022
Bond Fund,"162,097,579,715.1430","1,458,803,390.9630",111.1168,111.1168,111.1168,11-02-2022
Umoja Fund,"274,289,373,711.6820","346,961,269.3473",790.5475,790.5475,782.6421,10-02-2022
Wekeza Maisha Fund,"2,827,142,566.1903","4,212,348.6339",671.1559,671.1559,657.7328,10-02-2022
Watoto Fund,"4,828,597,329.2658","9,829,324.0111",491.2441,491.2441,486.3316,10-02-2022
Jikimu Fund,"17,341,594,213.8083","114,784,400.5316",151.0797,151.0797,148.0581,10-02-2022
Liquid Fund,"334,141,895,224.5110","1,090,587,800.6589",306.387,306.387,306.387,10-02-2022
Bond Fund,"161,316,285,698.0350","1,452,219,393.7733",111.0826,111.0826,111.0826,10-02-2022
Umoja Fund,"274,224,302,603.0240","346,932,603.0747",790.4253,790.4253,782.521,09-02-2022
Wekeza Maisha Fund,"2,824,377,630.8185","4,209,220.3158",670.9978,670.9978,657.5779,09-02-2022
Watoto Fund,"4,820,720,636.9996","9,815,478.5204",491.1346,491.1346,486.2232,09-02-2022
Jikimu Fund,"17,320,811,970.3343","114,672,794.6909",151.0455,151.0455,148.0246,09-02-2022
Liquid Fund,"331,109,175,340.1650","1,081,018,268.1728",306.2938,306.2938,306.2938,09-02-2022
Bond Fund,"160,792,011,964.2330","1,447,948,241.2552",111.0482,111.0482,111.0482,09-02-2022
Umoja Fund,"274,260,557,686.6310","346,920,788.0562",790.5567,790.5567,782.6511,08-02-2022
Wekeza Maisha Fund,"2,824,371,067.1858","4,210,203.7548",670.8395,670.8395,657.4227,08-02-2022
Watoto Fund,"4,819,644,289.2914","9,813,264.8725",491.1357,491.1357,486.2243,08-02-2022
Jikimu Fund,"17,310,712,335.2683","114,614,033.3439",151.0348,151.0348,148.0141,08-02-2022
Liquid Fund,"330,852,196,890.9910","1,080,511,639.1750",306.1996,306.1996,306.1996,08-02-2022
Bond Fund,"160,032,513,667.4110","1,441,555,612.2985",111.0138,111.0138,111.0138,08-02-2022
Umoja Fund,"274,301,163,091.1240","347,026,478.9351",790.4329,790.4329,782.5286,07-02-2022
Wekeza Maisha Fund,"2,787,586,766.2863","4,156,341.4833",670.6828,670.6828,657.2691,07-02-2022
Watoto Fund,"4,820,798,308.1834","9,817,855.8583",491.0235,491.0235,486.1133,07-02-2022
Jikimu Fund,"17,318,091,199.6401","114,690,017.2282",150.9991,150.9991,147.9791,07-02-2022
Liquid Fund,"329,253,498,930.2050","1,075,620,746.9843",306.1056,306.1056,306.1056,07-02-2022
Bond Fund,"159,929,982,589.4220","1,441,085,944.0704",110.9788,110.9788,110.9788,07-02-2022
Umoja Fund,"273,540,799,828.1310","347,008,324.8690",788.2831,788.2831,780.4003,04-02-2022
Wekeza Maisha Fund,"2,775,014,530.0677","4,155,316.7292",667.8226,667.8226,654.4662,04-02-2022
Watoto Fund,"4,805,042,079.7952","9,812,493.0745",489.6862,489.6862,484.7893,04-02-2022
Jikimu Fund,"17,251,062,516.8534","114,647,648.8120",150.4703,150.4703,147.4609,04-02-2022
Liquid Fund,"327,041,216,609.0300","1,069,377,904.2238",305.8238,305.8238,305.8238,04-02-2022
Bond Fund,"158,602,729,058.4340","1,430,461,414.5055",110.8752,110.8752,110.8752,04-02-2022
Umoja Fund,"273,400,133,116.1650","346,998,923.8098",787.8991,787.8991,780.0201,03-02-2022
Wekeza Maisha Fund,"2,768,492,575.2792","4,146,539.8502",667.6633,667.6633,654.3101,03-02-2022
Watoto Fund,"4,798,762,816.3447","9,804,085.9464",489.4656,489.4656,484.5709,03-02-2022
Jikimu Fund,"17,244,334,764.4933","114,646,970.6768",150.4125,150.4125,147.4042,03-02-2022
Liquid Fund,"310,747,722,985.1100","1,016,406,521.4869",305.7317,305.7317,305.7317,03-02-2022
Bond Fund,"157,188,289,489.2540","1,418,148,251.5021",110.8405,110.8405,110.8405,03-02-2022
Umoja Fund,"273,335,167,239.1240","346,973,851.7326",787.7688,787.7688,779.8911,02-02-2022
Wekeza Maisha Fund,"2,766,020,569.0748","4,143,727.9485",667.5198,667.5198,654.1694,02-02-2022
Watoto Fund,"4,792,703,312.5882","9,801,877.1667",488.9577,488.9577,484.0681,02-02-2022
Jikimu Fund,"17,229,600,160.9223","114,616,006.3502",150.3246,150.3246,147.3181,02-02-2022
Liquid Fund,"310,021,548,865.1270","1,014,351,577.1808",305.6352,305.6352,305.6352,02-02-2022
Bond Fund,"155,226,642,246.7240","1,400,880,124.7139",110.8065,110.8065,110.8065,02-02-2022
Umoja Fund,"273,364,457,004.3350","346,952,239.1811",787.9023,787.9023,780.0232,01-02-2022
Wekeza Maisha Fund,"2,753,859,669.3929","4,126,397.6502",667.3762,667.3762,654.0287,01-02-2022
Watoto Fund,"4,788,496,647.2702","9,793,114.8508",488.9656,488.9656,484.076,01-02-2022
Jikimu Fund,"17,215,427,264.1674","114,529,562.9374",150.3143,150.3143,147.308,01-02-2022
Liquid Fund,"309,427,317,885.3750","1,012,727,707.7316",305.5385,305.5385,305.5385,01-02-2022
Bond Fund,"154,190,538,700.2690","1,391,968,318.6411",110.7716,110.7716,110.7716,01-02-2022
Umoja Fund,"272,803,600,295.6050","347,006,145.5881",786.1636,786.1636,778.302,31-01-2022
Wekeza Maisha Fund,"2,726,536,753.2622","4,086,363.3634",667.2282,667.2282,653.8836,31-01-2022
Watoto Fund,"4,774,299,095.6087","9,779,476.0783",488.1958,488.1958,483.3138,31-01-2022
Jikimu Fund,"17,170,903,785.6845","114,368,052.4058",150.1372,150.1372,147.1345,31-01-2022
Liquid Fund,"307,678,933,688.3090","1,007,341,372.5873",305.4366,305.4366,305.4366,31-01-2022
Bond Fund,"154,855,340,260.3070","1,385,937,722.7622",111.7333,111.7333,111.7333,31-01-2022
Umoja Fund,"272,646,207,719.4000","346,964,992.0687",785.8032,785.8032,777.9452,28-01-2022
Wekeza Maisha Fund,"2,722,297,622.9385","4,082,671.6888",666.7932,666.7932,653.4573,28-01-2022
Watoto Fund,"4,756,434,691.7985","9,749,079.5036",487.8855,487.8855,483.0067,28-01-2022
Jikimu Fund,"17,151,265,749.2705","114,314,652.3314",150.0356,150.0356,147.0349,28-01-2022
Liquid Fund,"306,938,896,877.7910","1,005,881,119.6397",305.1443,305.1443,305.1443,28-01-2022
Bond Fund,"153,963,702,102.2850","1,379,257,318.3812",111.628,111.628,111.628,28-01-2022
Umoja Fund,"272,594,456,168.8150","346,952,170.5737",785.6831,785.6831,777.8263,27-01-2022
Wekeza Maisha Fund,"2,720,221,928.3167","4,080,446.0884",666.6482,666.6482,653.3152,27-01-2022
Watoto Fund,"4,753,047,872.5820","9,744,216.9663",487.7814,487.7814,482.9036,27-01-2022
Jikimu Fund,"17,140,076,407.7628","114,266,051.5379",150.0015,150.0015,147.0014,27-01-2022
Liquid Fund,"304,926,048,982.1860","999,602,078.9811",305.0474,305.0474,305.0474,27-01-2022
